MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target,timestamp
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:50.147555
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:50.523144
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:50.523151
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:54.273030
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:54.273036
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:54.472266
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:54.472271
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:54.642079
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:54.642107
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:54.819833
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:54.819839
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:54.995020
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:54.995027
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:55.152195
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:55.152201
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:55.392773
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:55.392779
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:55.579968
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:55.579974
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:55.761278
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:55.761286
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:55.930228
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:55.930234
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:56.100211
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:56.100218
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:56.310073
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:56.310080
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:56.503456
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:56.503463
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:56.693974
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:56.693985
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:56.846403
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:56.846409
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:57.038761
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:57.038768
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:57.200608
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:57.200614
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:57.361319
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:57.361326
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:57.520622
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:57.520630
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:57.705852
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:57.705859
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:58.027237
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:58.027248
8.33,41.0,6.98,1.02,322.0,2.56,37.88,-122.23,4526.0,2025-08-10T16:41:58.209125
7.25,35.0,5.85,0.98,285.0,2.12,36.75,-121.48,3890.0,2025-08-10T16:41:58.209132
